nom,code postal,code insee,Pop 2012
Saint-Avit,81110,81242,200
Moulayrès,81300,81187,200
Virac,81640,81322,200
Rouairoux,81240,81231,400
Lacapelle-Ségalar,81170,81123,100
Appelle,81700,81015,100
Villefranche-d'Albigeois,81430,81317,1100
Montgaillard,81630,81178,300
Garrevaques,81700,81100,300
Albi,81990,81004,48800
Saint-Jean-de-Marcel,81350,81254,300
Trébas,81340,81303,400
Larroque,81140,81136,200
Saint-Gauzens,81390,81248,800
Castelnau-de-Lévis,81150,81063,1500
Ferrières,81260,81091,100
Taïx,81130,81291,300
Naves,81710,81195,700
Veilhes,81500,81310,100
Le Masnau-Massuguiès,81530,81158,300
Cahuzac-sur-Vère,81140,81051,1000
Teyssode,81220,81299,300
Terssac,81150,81297,1000
Nages,81320,81193,300
Albine,81240,81005,500
Lasfaillades,81260,81137,100
Castelnau-de-Montmiral,81140,81064,1000
Gaillac,81600,81099,13100
Montdragon,81440,81174,600
Durfort,81540,81083,300
Lamontélarié,81260,81134,100
Jonquières,81440,81109,500
Milhars,81170,81165,300
Lédas-et-Penthiès,81340,81141,200
Grazac,81800,81106,500
Montauriol,81190,81172,100
Busque,81300,81043,700
Roumégoux,81120,81233,200
Saint-Juéry,81160,81257,7000
Almayrac,81190,81008,300
Roussayrolles,81140,81234,100
Frausseilles,81170,81095,100
Montvalen,81630,81185,200
Lisle-sur-Tarn,81310,81145,4200
Saint-Lieux-Lafenasse,81120,81260,500
Magrin,81220,81151,100
Lempaut,81700,81142,700
Le Margnès,81260,81153,0
Arthès,81160,81018,2400
Le Garric,81450,81101,1100
Beauvais-sur-Tescou,81630,81024,300
Sémalens,81570,81281,2000
Marssac-sur-Tarn,81150,81156,2900
La Sauzière-Saint-Jean,81630,81279,200
Donnazac,81170,81080,100
Mazamet,81200,81163,10000
Labessière-Candeil,81300,81117,700
Montans,81600,81171,1300
Lacapelle-Pinet,81340,81122,100
Algans,81470,81006,200
Vénès,81440,81311,700
Caucalières,81200,81066,300
Montgey,81470,81179,300
Prades,81220,81212,100
Sainte-Cécile-du-Cayrou,81140,81246,100
Lacaze,81330,81125,300
Saint-André,81250,81240,100
Saint-Amans-Valtoret,81240,81239,900
Vieux,81140,81316,200
Espérausses,81260,81086,200
Campagnac,81140,81056,100
Saint-Amancet,81110,81237,200
Fraissines,81340,81094,100
Noailhac,81490,81196,800
Rayssac,81330,81221,300
Fréjairolles,81990,81097,1300
Lugan,81500,81150,400
Tauriac,81630,81293,200
Cabanès,81500,81044,200
Mont-Roc,81120,81183,200
Lagardiolle,81110,81129,200
Saint-Antonin-de-Lacalm,81120,81241,200
Labastide-Gabausse,81400,81114,400
Mailhoc,81130,81152,200
Sorèze,81540,81288,2600
Cordes-sur-Ciel,81170,81069,1000
Lautrec,81440,81139,1700
Fréjeville,81570,81098,600
Treban,81190,81302,0
Garrigues,81500,81102,300
Valence-d'Albigeois,81340,81308,1300
Brousse,81440,81040,300
Rouffiac,81150,81232,600
Mézens,81800,81164,400
Marnaves,81170,81154,100
Saint-Lieux-lès-Lavaur,81500,81261,800
Montredon-Labessonnié,81360,81182,2100
Milhavet,81130,81166,100
Bout-du-Pont-de-Larn,81660,81036,1000
Marzens,81500,81157,300
Saint-Marcel-Campes,81170,81262,200
Lamillarié,81120,81133,400
Brens,81600,81038,2100
